STIG ID,NIST 800-53 Control ID,Severity,Step Number,Action/Command,Expected Output/Result,Expected Screen Output (what user sees),Notes,Pass/Fail
SV-257777r991589_rule,CM.06.1(iv),HIGH,1,Run `cat /etc/redhat-release`,"'the installed version of RHEL 9' must be 'supported,'. If it is not, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257781r991589_rule,CM.06.1(iv),MEDIUM,1,Run `systemctl get-default`,"Must: that RHEL 9 is configured to boot to the command line:

$ systemctl get-default

multi-user. If it does not, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257782r991589_rule,CM.06.1(iv),LOW,1,Run `systemctl is-active rngd`,"The following condition must NOT be true: the ""rngd"" service is not active. If it is true, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257783r991562_rule,SC.24.1(v),MEDIUM,1,Run `systemctl is-active systemd-journald`,"'the systemd-journald service' must be 'active,'. If it is not, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257787r1117265_rule,AC.03.1,MEDIUM,1,Run `grep password_pbkdf2 /etc/grub2.cfg`,"Must: the boot loader superuser password has been set with the following command:

$ sudo grep password_pbkdf2 /etc/grub2. If it does not, this is a finding.; Must: the boot loader superuser account password has been set and the password encrypted, run the following command:

$ sudo cat /boot/grub2/user. If it does not, this is a finding.

The configuration includes:
  GRUB2_PASSWORD=grub.pbkdf2.sha512.10000.C4E08AC72FBFF7E837FD267BFAD7AEB3D42DDC",Command output should show lines matching pattern: password_pbkdf2,File location: /etc/grub2.cfg; File location: /boot/grub2/user.cfg,[ ] Pass / [ ] Fail
SV-257787r1117265_rule,AC.03.1,MEDIUM,2,Run `cat /boot/grub2/user.cfg`,"The following condition must NOT be true: a ""GRUB2_PASSWORD"" is not set. If it is true, this is a finding.

The configuration includes:
  GRUB2_PASSWORD=grub.pbkdf2.sha512.10000.C4E08AC72FBFF7E837FD267BFAD7AEB3D42DDC",Command output should show lines matching pattern: password_pbkdf2,File location: /etc/grub2.cfg; File location: /boot/grub2/user.cfg,[ ] Pass / [ ] Fail
SV-257788r1044838_rule,CM.06.1(iv),MEDIUM,1,Run `grubby --info=ALL | grep args | grep 'systemd.confirm_spawn'`,"The following condition must NOT be true: any output is returned. If it is true, this is a finding.",Command output should show lines matching pattern: args,Configuration: info = ALL,[ ] Pass / [ ] Fail
SV-257789r1134895_rule,AC.03.1,HIGH,1,"Run `grep -A1 ""superusers"" /etc/grub2.cfg`","The following condition must NOT be true: superusers contains easily guessable usernames. If it is true, this is a finding.",Command output should show lines matching pattern: -A1,"File location: /etc/grub2.cfg; Configuration: superusers = ""<accountname>""",[ ] Pass / [ ] Fail
SV-257790r991589_rule,CM.06.1(iv),MEDIUM,1,"Run `stat -c ""%G %n"" /boot/grub2/grub.cfg`","Must: the group ownership of the ""/boot/grub2/grub. If it does not, this is a finding.",Review the command output and verify it matches the expected result described above.,File location: /boot/grub2/grub.cfg,[ ] Pass / [ ] Fail
SV-257791r991589_rule,CM.06.1(iv),MEDIUM,1,"Run `stat -c ""%U %n"" /boot/grub2/grub.cfg`","Must: the ownership of the ""/boot/grub2/grub. If it does not, this is a finding.",Review the command output and verify it matches the expected result described above.,File location: /boot/grub2/grub.cfg,[ ] Pass / [ ] Fail
